iter	Passed	Remaining
409	3823	5502
410	3833	5493
411	3843	5484
412	3851	5473
413	3859	5462
414	3867	5451
415	3877	5443
416	3889	5437
417	3899	5429
418	3910	5421
419	3919	5412
420	3927	5401
421	3936	5391
422	3943	5379
423	3954	5371
424	3962	5361
425	3972	5352
426	3981	5343
427	3991	5335
428	4001	5326
429	4011	5318
430	4022	5310
431	4031	5300
432	4039	5289
433	4047	5278
434	4057	5269
435	4065	5259
436	4074	5249
437	4083	5239
438	4092	5230
439	4102	5221
440	4111	5211
441	4121	5203
442	4131	5194
443	4140	5184
444	4149	5175
445	4158	5164
446	4167	5155
447	4176	5145
448	4184	5135
449	4192	5124
450	4201	5114
451	4210	5104
452	4221	5097
453	4232	5089
454	4240	5078
455	4248	5068
456	4257	5058
457	4265	5048
458	4275	5039
459	4285	5031
460	4295	5022
461	4305	5014
462	4315	5005
463	4326	4998
464	4335	4987
465	4343	4977
466	4351	4966
467	4359	4955
468	4368	4945
469	4376	4935
470	4385	4926
471	4394	4916
472	4402	4905
473	4410	4894
474	4419	4884
475	4428	4874
476	4436	4864
477	4446	4855
478	4454	4845
479	4462	4834
480	4471	4824
481	4480	4815
482	4490	4806
483	4501	4798
484	4513	4792
485	4523	4783
486	4530	4772
487	4540	4763
488	4550	4754
489	4560	4746
490	4569	4736
491	4579	4728
492	4587	4718
493	4597	4708
494	4606	4699
495	4615	4689
496	4623	4679
497	4632	4669
498	4642	4661
499	4653	4653
500	4662	4644
501	4671	4634
502	4680	4625
503	4691	4616
504	4700	4607
505	4709	4598
506	4719	4589
507	4727	4578
508	4737	4569
509	4746	4560
510	4754	4549
511	4764	4540
512	4772	4530
513	4781	4520
514	4791	4512
515	4799	4501
516	4808	4492
517	4817	4482
518	4827	4473
519	4837	4465
520	4846	4456
521	4856	4447
522	4867	4439
523	4876	4429
524	4887	4421
525	4896	4412
526	4906	4403
527	4915	4393
528	4924	4384
529	4935	4376
530	4942	4365
531	4952	4356
532	4961	4347
533	4971	4338
534	4978	4327
535	4987	4317
536	4996	4307
537	5004	4297
538	5012	4286
539	5021	4277
540	5031	4268
541	5040	4259
542	5049	4249
543	5057	4239
544	5067	4230
545	5076	4221
546	5083	4209
547	5094	4202
548	5104	4192
549	5114	4184
550	5124	4175
551	5134	4167
552	5150	4163
553	5162	4155
554	5171	4146
555	5181	4137
556	5191	4128
557	5199	4118
558	5208	4108
559	5216	4098
560	5225	4088
561	5234	4079
562	5243	4069
563	5253	4060
564	5261	4051
565	5271	4041
566	5281	4033
567	5291	4024
568	5299	4014
569	5308	4004
570	5318	3995
571	5328	3986
572	5336	3976
573	5347	3968
574	5356	3959
575	5366	3950
576	5376	3941
577	5385	3932
578	5395	3922
579	5404	3913
580	5413	3904
581	5424	3895
582	5433	3886
583	5443	3877
584	5451	3867
585	5459	3856
586	5468	3847
587	5477	3838
588	5487	3829
589	5499	3821
590	5509	3812
591	5519	3803
592	5528	3794
593	5537	3784
594	5545	3774
595	5554	3764
596	5562	3755
597	5572	3745
598	5580	3735
599	5588	3725
600	5597	3715
601	5605	3705
602	5613	3695
603	5621	3685
604	5629	3675
605	5639	3666
606	5647	3656
607	5656	3647
608	5664	3636
